N Np Nc Runtime
10 1 2 35.847995
10 1 2 36.323897
10 1 2 36.201150
10 1 2 36.533635
10 1 2 35.958201
10 1 2 36.793866
10 1 4 36.813223
10 1 4 38.215727
10 1 4 37.627547
10 1 4 38.673556
10 1 4 39.302955
10 1 4 37.275007
10 1 4 37.547794
10 1 4 37.187549
10 1 4 36.672090
10 1 4 37.408495
10 1 8 42.701199
10 1 8 41.990504
10 1 8 42.649796
10 1 8 42.612393
10 1 8 42.450266
10 1 8 42.405531
10 1 8 42.541920
10 1 8 40.116840
10 1 8 39.271624
10 1 8 41.136468
10 2 1 37.790128
10 2 1 37.684269
10 2 1 37.684314
10 2 1 38.065033
10 2 1 37.560311
10 2 1 37.800091
10 2 1 37.751253
10 2 1 37.296730
10 2 1 38.229991
10 2 1 38.291974
10 4 1 37.893014
10 4 1 38.532582
10 4 1 38.523031
10 4 1 37.054572
10 4 1 37.775466
10 4 1 36.977443
10 4 1 37.327480
10 4 1 36.986265
10 4 1 37.182302
10 4 1 38.357135
10 8 1 37.195398
10 8 1 37.546653
10 8 1 36.487560
10 8 1 35.583286
10 8 1 35.117570
10 8 1 36.621629
10 8 1 36.382181
10 8 1 35.668087
10 8 1 35.587226
10 8 1 36.032198
100 1 1 36.492612
100 1 1 35.660315
100 1 1 35.096393
100 1 1 36.435415
100 1 1 35.389027
100 1 1 35.699961
100 1 1 36.295365
100 1 1 37.650368
100 1 1 36.488646
100 1 1 36.521082
100 1 2 36.486411
100 1 2 36.341890
100 1 2 36.262281
100 1 2 36.575582
100 1 2 36.189164
100 1 2 36.832467
100 1 2 35.435495
100 1 2 35.645470
100 1 2 37.487538
100 1 2 37.849298
100 1 4 37.056515
100 1 4 36.495799
100 1 4 36.976872
100 1 4 36.379355
100 1 4 38.184510
100 1 4 36.163851
100 1 4 36.316905
100 1 4 36.923472
100 1 4 37.044753
100 1 4 36.119669
100 1 8 38.966963
100 1 8 38.490615
100 1 8 38.764870
100 1 8 37.081277
100 1 8 38.414485
100 1 8 37.473081
100 1 8 38.315257
100 1 8 39.238401
100 1 8 38.886289
100 1 8 38.144190
100 2 1 36.593462
100 2 1 35.658085
100 2 1 35.689653
100 2 1 35.229440
100 2 1 36.443889
100 2 1 36.865620
100 2 1 36.240525
